date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Total,59.0,100.0,,
2021-01-01,California,State,Alpha,1.0,1.69,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Epsilon,28.0,47.46,,
2021-01-01,California,State,Omicron,1.0,1.69,,
2021-01-01,California,State,Other,29.0,49.15,,
2021-01-02,California,State,Epsilon,45.0,42.45,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Total,106.0,100.0,,
2021-01-02,California,State,Alpha,6.0,5.66,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Other,53.0,50.0,,
2021-01-02,California,State,Delta,1.0,0.94,,
2021-01-02,California,State,Omicron,1.0,0.94,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Other,140.0,52.43,,
2021-01-03,California,State,Epsilon,117.0,43.82,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Other,558.0,44.29,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Epsilon,692.0,54.92,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-05,California,State,Total,809.0,100.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Other,355.0,43.88,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Epsilon,438.0,54.14,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.98,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Epsilon,207.0,55.95,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.54,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Other,155.0,41.89,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-06,California,State,Total,370.0,100.0,,
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.347112653834
2021-01-07,California,State,Epsilon,154.0,51.68,240.14285714285,53.045124644998
2021-01-07,California,State,Other,127.0,42.62,202.42857142857,44.714420952982
2021-01-07,California,State,Total,298.0,100.0,452.71428571428,100.0
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Omicron,2.0,0.67,1.14285714285,0.252445566425
2021-01-07,California,State,Alpha,15.0,5.03,7.28571428571,1.609340485958
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.031555695803
2021-01-08,California,State,Omicron,0.0,0.0,1.0,0.214921707092
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.030703101013
2021-01-08,California,State,Other,65.0,44.22,207.57142857142,44.611605772183
2021-01-08,California,State,Total,147.0,100.0,465.28571428571,100.0
2021-01-08,California,State,Delta,2.0,1.36,1.85714285714,0.399140313172
2021-01-08,California,State,Alpha,2.0,1.36,7.42857142857,1.596561252687
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Epsilon,78.0,53.06,247.28571428571,53.147067853853
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
